,Country,Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,PSDG
183,Brazil,2019,9/15/2019,Ceara,Botafogo RJ,0,0,-1,1.69,3.7,5.7,15,9,2.2436170212766,6
184,Brazil,2019,9/15/2019,Athletico-PR,Avai,0,1,-1,1.79,3.46,5.26,11,4,2.0871100917431202,7
185,Brazil,2019,9/15/2019,Atletico-MG,Internacional,1,3,-1,1.69,3.71,5.61,15,4,2.2331652360515,11
186,Brazil,2019,9/15/2019,Bahia,Fortaleza,1,1,-1,1.61,3.79,6.47,13,11,2.38999025341131,2
187,Brazil,2019,9/15/2019,Fluminense,Corinthians,1,0,1,3.23,3.06,2.51,8,9,1.3789228007181298,-1
188,Brazil,2019,9/15/2019,Gremio,Goias,3,0,1,1.27,6.05,11.57,15,5,3.97267309875142,10
189,Brazil,2019,9/15/2019,Sao Paulo,CSA,1,1,-1,1.28,5.29,13.82,13,1,3.8256305599162697,12
190,Brazil,2019,9/21/2019,Botafogo RJ,Sao Paulo,1,2,-1,3.73,3.26,2.17,9,7,1.30279926335175,2
191,Brazil,2019,9/21/2019,Cruzeiro,Flamengo RJ,1,2,-1,3.94,3.49,2.03,8,16,1.28346014492754,-8
192,Brazil,2019,9/21/2019,Corinthians,Bahia,2,1,1,1.93,3.19,4.96,12,8,1.94139877300614,4
193,Brazil,2019,9/22/2019,Santos,Gremio,0,3,-1,2.04,3.47,3.91,22,9,1.8384417344173403,13
194,Brazil,2019,9/22/2019,Internacional,Chapecoense-SC,1,0,1,1.42,4.39,9.16,18,8,2.96770479704797,10
195,Brazil,2019,9/22/2019,CSA,Ceara,1,0,1,3.16,3.12,2.51,6,6,1.39097690941385,0
196,Brazil,2019,9/22/2019,Fortaleza,Palmeiras,0,1,-1,4.68,3.5,1.87,10,11,1.21880819366853,-1
197,Brazil,2019,9/22/2019,Vasco,Athletico-PR,1,1,-1,2.13,3.32,3.79,11,14,1.76973277074543,-3
198,Brazil,2019,9/22/2019,Goias,Fluminense,3,0,1,2.88,3.39,2.55,12,12,1.45530303030303,0
199,Brazil,2019,9/24/2019,Avai,Atletico-MG,1,0,1,2.6,3.1,3.05,5,8,1.53739837398374,-3
200,Brazil,2019,9/25/2019,Ceara,Cruzeiro,0,0,-1,2.21,3.11,3.82,15,8,1.7143145743145702,7
201,Brazil,2019,9/26/2019,Bahia,Botafogo RJ,2,0,1,1.62,3.92,5.99,14,9,2.36940464177598,5
202,Brazil,2019,9/26/2019,Flamengo RJ,Internacional,3,1,1,1.6,3.93,6.3,26,7,2.42023460410557,19
203,Brazil,2019,9/26/2019,Sao Paulo,Goias,0,1,-1,1.34,4.92,10.64,14,5,3.3643187660668397,9
204,Brazil,2019,9/26/2019,Palmeiras,CSA,6,2,1,1.19,7.14,16.76,19,2,5.00696234309623,17
205,Brazil,2019,9/27/2019,Fluminense,Santos,1,1,-1,2.59,3.31,2.88,9,8,1.54003231017771,1
206,Brazil,2019,9/27/2019,Gremio,Avai,6,1,1,1.34,4.71,12.25,18,5,3.40197523584906,13
207,Brazil,2019,9/27/2019,Athletico-PR,Fortaleza,4,1,1,1.44,4.65,7.65,11,12,2.89207317073171,-1
