Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC,
D1,11/05/2019,4,0,0,0,D,5,4,1.66,294,294,1.2055750798722,
D1,11/05/2019,16,3,3,0,H,3.2,3.5,2.2,295,295,1.43136288998358,
D1,12/05/2019,12,7,0,2,A,1.6,4.2,5.25,296,296,2.64048643592142,
D1,18/05/2019,0,12,5,1,H,1.25,6.5,10,297,297,3.67451349654739,
D1,18/05/2019,15,11,2,1,H,1.55,4.2,6,298,298,3.32903731343284,
D1,18/05/2019,13,17,5,1,H,1.75,4,4.33,299,299,2.20863276836158,
D1,18/05/2019,14,2,1,5,A,7,4.5,1.44,300,300,1.15258594917788,
D1,18/05/2019,7,9,4,2,H,4.2,4.75,1.65,301,301,1.27175757575758,
D1,18/05/2019,5,1,0,2,A,2.9,4,2.2,302,302,1.47354294478528,
D1,18/05/2019,6,16,0,0,D,1.61,4.2,5.25,303,303,2.35617584745763,
D1,18/05/2019,10,4,2,1,H,2.5,4,2.5,304,304,1.73879943502825,
D1,18/05/2019,3,8,8,1,H,1.4,4.75,8,305,305,3.60988567585743,:
