Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,B365H,B365D,B365A,PSHG,PSAG,B365DC
SP1,10/03/2019,14,13,0,2,A,2.9,3.3,2.5,,,1.42241379310345
SP1,10/03/2019,5,8,5,2,H,1.66,4.2,4.75,,,2.22905027932961
SP1,10/03/2019,15,1,1,4,A,5,4.33,1.61,,,1.17361952861953
SP1,15/03/2019,8,14,1,1,D,1.8,3.75,4.5,,,2.04545454545455
SP1,16/03/2019,7,2,2,0,H,3.9,3,2.2,,,1.26923076923077
SP1,16/03/2019,19,10,1,3,A,2.45,3.2,3,,,1.54838709677419
SP1,16/03/2019,12,18,0,2,A,2.15,3.2,3.7,,,1.71594202898551
SP1,16/03/2019,1,16,2,0,H,1.18,7.5,13,,,4.75609756097561
SP1,17/03/2019,9,0,1,4,A,7,5,1.4,,,1.09375
SP1,17/03/2019,11,15,1,2,A,1.66,3.8,5.5,,,2.24731182795699
SP1,17/03/2019,6,5,0,1,A,2.4,3.5,2.9,,,1.5859375
SP1,17/03/2019,3,4,0,0,D,2,3.3,4,,,1.80821917808219
SP1,17/03/2019,13,17,3,1,H,1.6,4.2,5.5,,,2.38144329896907
SP1,29/03/2019,18,7,1,2,A,2.87,2.9,2.7,,,1.39821428571429
SP1,30/03/2019,10,2,0,4,A,5.5,3.4,1.75,,,1.15533980582524
SP1,30/03/2019,0,6,2,0,H,1.14,9,15,,,5.625
SP1,30/03/2019,16,13,3,2,H,2.5,3.3,2.75,,,1.5
SP1,30/03/2019,4,12,0,2,A,1.95,3.2,4.5,,,1.87012987012987
SP1,31/03/2019,14,11,2,2,D,2.8,3.5,2.45,,,1.44117647058824
SP1,31/03/2019,1,19,3,2,H,1.11,10,19,,,6.55172413793104
SP1,31/03/2019,5,3,0,1,A,2.05,3.5,3.6,,,1.77464788732394
SP1,31/03/2019,15,8,1,1,D,2.6,3,3,,,1.5
SP1,31/03/2019,17,9,1,1,D,2.75,3.5,2.45,,,1.44117647058824
SP1,02/04/2019,2,18,2,0,H,1.36,4.5,10,,,3.10344827586207
SP1,02/04/2019,6,4,1,1,D,2.4,3.1,3.2,,,1.57460317460317
SP1,02/04/2019,13,0,4,4,D,5.25,4.2,1.61,,,1.16385542168675
SP1,03/04/2019,7,14,3,2,H,1.61,4,5.5,,,2.31578947368421
SP1,03/04/2019,11,17,2,1,H,1.61,4,5.5,,,2.31578947368421
SP1,03/04/2019,19,16,3,3,D,2.62,3.5,2.62,,,1.4983660130719
SP1,03/04/2019,3,1,2,1,H,3.3,3.6,2.15,,,1.34608695652174
SP1,04/04/2019,12,15,1,0,H,1.9,3.3,4.5,,,1.90384615384615
SP1,04/04/2019,5,10,2,0,H,1.5,4.33,6.5,,,2.59879963065559
SP1,04/04/2019,8,9,2,1,H,2.25,3.3,3.3,,,1.65
SP1,06/04/2019,0,2,2,0,H,1.75,3.6,5,,,2.09302325581395
SP1,06/04/2019,18,6,1,2,A,2.5,3.2,3,,,1.54838709677419
SP1,06/04/2019,1,11,2,1,H,1.3,5.5,9.5,,,3.48333333333333
SP1,06/04/2019,17,3,2,0,H,4.2,3.5,1.9,,,1.23148148148148
SP1,07/04/2019,10,12,1,1,D,2.5,3,3.1,,,1.52459016393443
SP1,07/04/2019,9,13,2,1,H,2.2,3.4,3.3,,,1.67462686567164
SP1,07/04/2019,16,8,3,1,H,2.4,3.3,3,,,1.57142857142857
SP1,07/04/2019,4,7,1,0,H,2.3,3,3.5,,,1.61538461538462
SP1,07/04/2019,14,19,2,2,D,1.95,3.6,3.8,,,1.84864864864865
SP1,07/04/2019,15,5,0,2,A,3.5,3.4,2.05,,,1.27889908256881
SP1,13/04/2019,2,16,2,0,H,1.36,4.75,9,,,3.10909090909091
SP1,13/04/2019,6,10,2,1,H,1.8,3.5,4.75,,,2.01515151515152
SP1,13/04/2019,19,0,0,0,D,4.75,4.2,1.65,,,1.18461538461538
SP1,13/04/2019,5,9,3,2,H,1.66,4,5,,,2.22222222222222
SP1,14/04/2019,7,17,3,2,H,1.6,4,5.5,,,2.31578947368421
SP1,14/04/2019,18,13,0,1,A,2.5,3.25,2.8,,,1.50413223140496
SP1,14/04/2019,8,11,1,1,D,2.2,3.5,3.25,,,1.68518518518519
SP1,14/04/2019,3,14,3,1,H,1.5,4.75,5.5,,,2.54878048780488
SP1,14/04/2019,15,4,2,2,D,3.2,2.9,2.55,,,1.35688073394495
SP1,15/04/2019,12,1,1,1,D,5.25,4.2,1.6,,,1.15862068965517
SP1,19/04/2019,10,15,2,2,D,2.1,3.2,3.75,,,1.72661870503597
SP1,20/04/2019,0,8,2,1,H,1.22,6.5,13,,,4.33333333333333
SP1,20/04/2019,16,18,2,1,H,2,3.75,3.5,,,1.81034482758621
SP1,20/04/2019,11,2,0,1,A,3.2,3.1,2.4,,,1.35272727272727
SP1,20/04/2019,17,19,0,0,D,2.05,3.75,3.4,,,1.78321678321678
SP1,21/04/2019,9,3,1,2,A,3,3.3,2.4,,,1.38947368421053
SP1,21/04/2019,4,5,3,0,H,3.1,3.4,2.3,,,1.3719298245614
SP1,21/04/2019,14,6,2,2,D,2.3,3.5,3,,,1.61538461538462
SP1,21/04/2019,1,7,3,0,H,1.45,4.33,7,,,2.67519858781995
